id,deskripsi_laporan,jenis_infrastruktur,kota_administrasi,tingkat_kerusakan,date_laporan
29,Pagar pengaman jembatan Jalan Rasuna Said sedikit berkarat mohon segera ditindaklanjuti,Jembatan,Kepulauan Seribu,Ringan,2025-04-24 17:34:16
30,Taman Jalan Daan Mogot perlu pembersihan ringan daun daun berguguran,Taman,Jakarta Selatan,Ringan,2025-12-19 13:57:37
31,Saluran got Jalan Casablanca mulai menyempit karena endapan,Drainase,Kepulauan Seribu,Ringan,2025-07-12 07:08:32
32,Lantai jembatan Jalan Muara Baru ada retakan tipis perlu pengecekan,Jembatan,Jakarta Selatan,Ringan,2025-08-03 01:55:07
33,Kabel fiber Jalan Gajah Mada mengurai dan menggantung di tengah jalan,Kabel Fiber,Kepulauan Seribu,Sedang,2025-03-21 05:50:43
34,Got besar di Gang Melati amblas menyebabkan jalan ikut rusak,Drainase,Jakarta Timur,Berat,2025-07-20 02:24:24
35,Beberapa lampu jalan di Jalan Warung Buncit mati menyebabkan jalan gelap,Lampu Jalan,Kepulauan Seribu,Sedang,2025-10-15 16:16:35
36,Pemasangan kabel fiber di Jalan TB Simatupang tidak rapi menggantung rendah,Kabel Fiber,Jakarta Barat,Ringan,2025-01-22 23:07:43
37,Taman Gang Melati hancur total akibat banjir semua fasilitas rusak,Taman,Jakarta Pusat,Berat,2025-09-25 08:49:41
38,Taman Jalan Sisingamangaraja tidak bisa digunakan semua infrastruktur rusak berat,Taman,Kepulauan Seribu,Berat,2025-06-04 09:27:10
39,Drainase Jalan Casablanca meluap saat hujan deras meski sebentar,Drainase,Jakarta Pusat,Sedang,2025-08-01 23:56:46
40,Kabel fiber Jalan Pluit putus massal akibat bencana menyebabkan blackout digital,Kabel Fiber,Jakarta Pusat,Berat,2025-05-17 05:32:58
41,Ada retakan tipis di permukaan jalan Jalan Sudirman,Jalan,Jakarta Timur,Ringan,2025-02-28 20:19:53
42,Trotoar Jalan Sisingamangaraja rusak parah pejalan kaki terpaksa jalan di badan jalan,Trotoar,Jakarta Pusat,Sedang,2025-11-17 19:12:09
43,Infrastruktur lampu jalan di Jalan Pangeran Jayakarta hancur parah akibat kecelakaan,Lampu Jalan,Kepulauan Seribu,Berat,2025-06-25 05:34:49
44,Trotoar Jalan Raya Kembangan ada satu dua ubin yang goyang sedikit berbahaya,Trotoar,Jakarta Barat,Ringan,2025-09-30 00:38:20
45,Seluruh jaringan kabel fiber di Jalan Kebon Jeruk putus total tidak ada sinyal,Kabel Fiber,Jakarta Utara,Berat,2025-08-01 03:59:23
46,Trotoar Jalan Raya Kembangan perlu pengecatan ulang marka sudah pudar,Trotoar,Jakarta Selatan,Ringan,2025-05-08 01:15:56
47,Banyak lubang kecil sedang di badan jalan Jalan Sisingamangaraja,Jalan,Jakarta Pusat,Sedang,2025-10-31 02:05:46
48,Jalan Jalan Rasuna Said amblas dalam dan lebar sangat mengancam keselamatan,Jalan,Jakarta Barat,Berat,2025-08-27 02:48:34
49,Jembatan Jalan Meruya rusak berat tidak layak dilalui kendaraan apapun,Jembatan,Jakarta Selatan,Berat,2025-03-05 21:30:35
50,Pagar taman Jalan Sisingamangaraja rusak di beberapa bagian,Taman,Jakarta Utara,Sedang,2025-03-09 16:55:38
51,Trotoar Jalan Raya Bekasi rusak berat ada yang ambles ke saluran drainase bawahnya tolong segera ditangani,Trotoar,Jakarta Barat,Berat,2025-07-31 06:59:34
52,URGENT!! Got Jalan Gajah Mada retak dan bocor air merembes ke jlan,Drainase,Kepulauan Seribu,Sedang,2025-12-23 06:45:19
53,Jembatan Jalan Mangga Dua hampir roboh sangat mengancam keselamatan jiwa,Jembatan,Kepulauan Seribu,Berat,2025-07-22 20:23:28
54,Drainase di jl Raya Kembangan perlu pembersihan rutin lumpur menumpuk,Drainase,Jakarta Utara,Ringan,2025-09-15 03:15:14
55,Trotoar Jalan Raya Kembangan dirusak oleh akar pohon dan tidak rata,Trotoar,Kepulauan Seribu,Sedang,2025-02-11 00:37:35
56,Jembatan Jalan Pluit terancam roboh akibat banjir besar melanda,Jembatan,Jakarta Selatan,Berat,2025-04-19 07:00:04
57,Infrastruktur lampu jalan di Jalan Haji Nawi hancur parah akibat kecelakaan,Lampu Jalan,Jakarta Selatan,Berat,2025-12-21 01:14:04
58,Tempat duduk di taman Gang Melati hampir semua rusak tidak layak,Taman,Kepulauan Seribu,Sedang,2025-01-28 10:04:32
59,Jembatan Jalan Pangeran Jayakarta patah di bagian tengah sangat berbahaya darurat anak anak sering lewat sini,Jembatan,Jakarta Pusat,Berat,2025-04-09 21:31:13
60,Ubin trotoar di Jalan Haji Nawi mulai longgar tapi masih aman,Trotoar,Jakarta Selatan,Ringan,2025-09-05 23:59:56
61,Kabel fiber Jalan Sudirman mengurai dan menggantung di tengah jalan,Kabel Fiber,Jakarta Selatan,Sedang,2025-10-19 15:15:50
62,Jembatan Jalan Sisingamangaraja retak cukup dalam perlu segera diperbaiki,Jembatan,Jakarta Pusat,Sedang,2025-08-26 13:12:06
63,Tiang lampu Jalan Casablanca roboh hampir menimpa rumah warga,Lampu Jalan,Jakarta Utara,Berat,2025-02-22 13:22:27
64,Penyangga jembatan jln Gunung Sahari terlihat retak perlu inspeksi sudah 2 minggu belum diperbaiki,Jembatan,Kepulauan Seribu,Sedang,2025-07-15 23:03:43
65,Kerusakan jalan di Jalan Meruya cukup parah ada beberapa lubang,Jalan,Jakarta Pusat,Sedang,2025-11-21 03:03:25
66,Longsor kecil merusak area taman Gang Mawar secara parah mohon segera ditindaklanjuti,Taman,Jakarta Barat,Berat,2025-12-11 03:15:12
67,Penerangan jalan di Jalan Ciledug Raya gelap karena beberapa lampu mati depan masjid,Lampu Jalan,Jakarta Barat,Sedang,2025-04-18 14:08:27
68,Tiang lampu jalan Jalan Raya Bekasi patah miring hampir jatuh ke jalan,Lampu Jalan,Jakarta Selatan,Berat,2025-03-09 14:15:55
69,Saluran air taman Jalan Gatot Subroto mampet menyebabkan genangan,Taman,Jakarta Timur,Sedang,2025-02-15 17:06:03
70,Tiang kabel fiber Jalan Warung Buncit miring hampir roboh,Kabel Fiber,Kepulauan Seribu,Sedang,2025-11-18 00:05:59
71,Taman Jalan Haji Nawi hancur total akibat banjir semua fasilitas rusak,Taman,Jakarta Barat,Berat,2025-04-06 13:31:30
72,Lampu  jalan  Jalan  Panjang  sering  konslet  menyebabkan  mati  berulang,Lampu Jalan,Kepulauan Seribu,Sedang,2025-04-28 12:57:03
73,Beberapa kabel fiber di Gang Mawar putus menyebabkan area mati sinyal,Kabel Fiber,Jakarta Barat,Sedang,2025-03-13 00:24:16
74,Kabel fiber Jalan Otista terputus akibat tertimpa pohon,Kabel Fiber,Jakarta Timur,Sedang,2025-08-10 13:44:46
75,Penerangan jalan di Jalan Cengkareng gelap karena beberapa lampu mati,Lampu Jalan,Jakarta Pusat,Sedang,2025-09-22 22:31:09
76,Saluran drainse di Jalan Rasuna Said sedikit tersumbat sampah daun,Drainase,Jakarta Selatan,Ringan,2025-04-10 06:03:37
77,Jembatan Jalan Muara Baru kondisi memperihatinkan perlu diperbaiki secepatnya,Jembatan,Jakarta Utara,Sedang,2025-12-18 01:47:20
78,Jalan Jalan Raya Kembangan rusak berat hampir tidak bisa dilalui kendaraan,Jalan,Kepulauan Seribu,Berat,2025-01-02 18:30:32
79,Kabel fiber Jalan Pangeran Jayakarta sedikit terkelupas di bagian sambungan,Kabel Fiber,Jakarta Timur,Ringan,2025-09-06 01:32:05
80,Jembatan Gang Melati retak parah dan sangat berbahaya harus ditutup,Jembatan,Jakarta Pusat,Berat,2025-03-03 19:04:43
81,Got Jalan Casablanca ada sedikit sampah yang menghambat aliran air,Drainase,Jakarta Selatan,Ringan,2025-04-13 03:56:36
82,Tiang lampu Jalan Fatmawati roboh hampir menimpa rumah warga,Lampu Jalan,Jakarta Selatan,Berat,2025-04-19 19:02:39
83,Kerusakan parah di jalan Jalan Mangga Dua kendaraan harus memutar jalan,Jalan,Jakarta Selatan,Berat,2025-02-14 21:37:36
84,Got pinggir jalan Jalan Pluit ada sampah plastik menyumbat sedikit,Drainase,Jakarta Timur,Ringan,2025-09-11 08:13:42
85,Taman Jalan TB Simatupang rusa berat akibat vandalisme parah butuh renovasi total,Taman,Jakarta Selatan,Berat,2025-12-11 07:16:25
86,Kersakan trotoar jl Otista sangat parah ada lubang besar mengancam keselamatan,Trotoar,Kepulauan Seribu,Berat,2025-03-22 20:19:29
87,Saluran drainase di Jalan Haji Nawi sedikit tersumbat sampah daun,Drainase,Jakarta Utara,Ringan,2025-06-30 02:00:29
88,Rel jembatan Jalan Otista copot berbahaya bagi pengguna jalan,Jembatan,Kepulauan Seribu,Sedang,2025-10-19 03:04:34
89,Terdapat lubang sangat besar di jl Jalan Gunung Sahari membahayakan pengendara,Jalan,Kepulauan Seribu,Berat,2025-04-17 08:08:59
90,Got besar di Jalan Otista amblas menyebabkan jalan ikut rusak,Drainase,Jakarta Barat,Berat,2025-06-29 02:56:15
91,Taman Jalan Ciledug Raya hancur total akibat banjir semua fasilitas rusak,Taman,Jakarta Pusat,Berat,2025-06-10 05:28:53
92,Retakan halus di aspal jalan Jalan Pluit perlu perhatian,Jalan,Jakarta Timur,Ringan,2025-09-23 09:39:51
93,Taman Gang Dahlia sedikit kotor ada sampah berserakan,Taman,Kepulauan Seribu,Ringan,2025-11-17 00:42:52
94,Jembatan Jalan Ahmad Yani retak cukup dalam perlu segera diperbaiki,Jembatan,Jakarta Barat,Sedang,2025-09-10 21:06:56
95,Lampu jalan Jalan Daan Mogot kabelnya terkelupas berbahaya bila hujan,Lampu Jalan,Jakarta Selatan,Sedang,2025-03-09 03:56:06
96,Kondisi jembatan Jalan Gajah Mada kritis hampir nggak layak digunakan darurat mutlak,Jembatan,Jakarta Selatan,Berat,2025-12-18 04:17:18
97,Kap lampu jalan di Jalan Gajah Mada kotor mengurangi pencahayaan 🙏,Lampu Jalan,Jakarta Utara,Ringan,2025-10-07 22:21:13
98,Drainase Jalan Gatot Subroto kurang bersih perlu segera diperhatikan,Drainase,Jakarta Pusat,Ringan,2025-11-21 08:32:31
99,Permukaan jalan Jalan Pramuka bergelombang dan berlubang,Jalan,Jakarta Utara,Sedang,2025-05-29 01:05:40
100,Tempat duduk di taman Jalan Ciledug Raya hampir semua rusak tidak layak,Taman,Kepulauan Seribu,Sedang,2025-07-27 08:02:00
101,Trotoar Jalan Haji Nawi rusak berat ada yang ambles ke saluran drainase bawahnya,Trotoar,Jakarta Timur,Berat,2025-06-25 04:40:16
102,Ubin trotoar di Jalan Warung Buncit mulai longgar tapi masih aman,Trotoar,Kepulauan Seribu,Ringan,2025-03-24 14:35:45
103,Got Jalan TB Simatupang retak dan bocor air merembes ke jalan,Drainase,Kepulauan Seribu,Sedang,2025-07-18 00:07:04
104,Permukaan jalan Jalan Kebon Jeruk mengelupas sedikit,Jalan,Jakarta Barat,Ringan,2025-12-29 04:34:02
105,Kerusakan massal kabel fiber di Jalan Raya Pasar Minggu bikin wilayah luas tanpa internet,Kabel Fiber,Jakarta Timur,Berat,2025-06-19 17:09:27
106,Beton jembatan jl Cengkareng patah sebagian sagnat darurat,Jembatan,Jakarta Barat,Berat,2025-03-02 09:23:57
107,Taman Gang Melati tidak terawat tanaman banyak yang mati,Taman,Jakarta Pusat,Sedang,2025-01-29 11:13:43
108,Saluran got Jalan Haji Nawi hancur total menyebabkan banjir besar,Drainase,Jakarta Timur,Berat,2025-04-22 03:22:49
109,Rumput taman Jalan Gatot Subroto mulai tidak terawat perlu dipangkas,Taman,Jakarta Selatan,Ringan,2025-09-29 13:39:47
110,Satu bundel kabel fiber di Jalan Rasuna Said terlepas dari pengikat tiang,Kabel Fiber,Jakarta Pusat,Ringan,2025-03-30 07:55:10
111,Tiang lampu Jalan Rasuna Said roboh hampir menimpa rumah warga,Lampu Jalan,Jakarta Barat,Berat,2025-03-29 13:01:11
112,Permukaan jalan Jalan Panjang bergelombang dan berlubang,Jalan,Jakarta Selatan,Sedang,2025-12-30 10:50:59
113,Drainase Jalan Gajah Mada rusak berat banjir menggenangi rumah warga,Drainase,Jakarta Utara,Berat,2025-07-26 21:55:47
114,Kondisi taman Jalan Pramuka sangat memperihatinkan rusak total perlu penanganan segera,Taman,Jakarta Pusat,Berat,2025-04-09 05:50:44
115,Satu bundel kabel fiber di Jalan Kebon Jeruk terlepas dari pengikat tiang,Kabel Fiber,Jakarta Timur,Ringan,2025-02-13 01:54:30
116,Seluruh lampu jalaan di Jalan TB Simatupang mati total dan tidak ada penerangan sama sekali,Lampu Jalan,Jakarta Utara,Berat,2025-04-07 14:22:19
117,Saluran got di Jalan Gajah Mada mampet total air meluap ke jalan,Drainase,Jakarta Pusat,Sedang,2025-04-08 00:42:12
118,Kabel fiber di tiang Jalan Mangga Dua terlihat longgar,Kabel Fiber,Jakarta Utara,Ringan,2025-07-11 08:55:04
119,URGENT!! Beberapa tanaman di taman Jalan Hayam Wuruk layu perlu disiram,Taman,Jakarta Barat,Ringan,2025-05-12 20:32:25
120,Tiang lampu jlan Jalan Pangeran Jayakarta roboh snagat berbahaya menghalangi jalan,Lampu Jalan,Jakarta Pusat,Berat,2025-11-27 17:21:01
121,Tiang lampu jalan Gang Melati roboh sangat berbahaya menghalangi jalan,Lampu Jalan,Jakarta Selatan,Berat,2025-02-09 05:37:16
122,Lampu jalan Jalan Panjang casing nya sedikit retak tapi masih menyala,Lampu Jalan,Jakarta Utara,Ringan,2025-01-04 19:27:22
123,Jalan Jalan Gajah Mada amblas parah dan sangat berbahaya bagi pengendara,Jalan,Kepulauan Seribu,Berat,2025-12-26 10:27:38
124,Saluran got Jalan Haji Nawi hancur total menyebabkan banjir besar,Drainase,Jakarta Barat,Berat,2025-09-04 12:57:36
125,Beberapa kabel fiber di Jalan Fatmawati putus menyebabkan area mati sinyal,Kabel Fiber,Jakarta Pusat,Sedang,2025-04-09 01:45:27
126,Jalan Jalan Panjang amblas dalam dan lebar sangat mengancam keselamatan,Jalan,Jakarta Utara,Berat,2025-01-17 17:43:46
127,Jembatan Jalan Gajah Mada retak parah dan bgtt berbahaya harus ditutup ini sudah lama dibiarkan,Jembatan,Kepulauan Seribu,Berat,2025-12-24 21:12:23
128,Kondisi trotoar Jalan Casablanca cukup memprihatinkan banyak kerusakan merata,Trotoar,Kepulauan Seribu,Sedang,2025-07-03 21:58:21
129,Paving block trotoar Jalan Raya Bekasi sedikit terangkat perlu diperbaiki,Trotoar,Jakarta Barat,Ringan,2025-10-11 21:54:07
130,Kap lampu jalan di Jalan Sudirman kotor mengurangi pencahayaan,Lampu Jalan,Jakarta Timur,Ringan,2025-12-29 09:32:19
131,Jembatan Jalan Pluit bergetar berlebihan saat dilalui kendaraan dekat sekolah SD,Jembatan,Jakarta Utara,Sedang,2025-11-14 10:25:44
132,Banyak lubang kecil sedang di badan jalan Jalan Cengkareng,Jalan,Jakarta Barat,Sedang,2025-05-18 04:12:26
133,Kabel fiber Jalan Casablanca tergantung rendah berbahaya bagi kendaraan tinggi,Kabel Fiber,Jakarta Barat,Sedang,2025-11-13 21:47:57
134,Beberapa pot tanaman di taman Jalan Pluit retak kecil,Taman,Jakarta Selatan,Ringan,2025-03-20 18:19:25
135,Tanaman hias di taman Jalan Mangga Dua perlu perawatan rutin,Taman,Jakarta Timur,Ringan,2025-09-27 00:19:18
136,Pondasi jembatan Jalan Raya Bekasi amblas darurat harus segera dievakuasi,Jembatan,Jakarta Barat,Berat,2025-04-14 18:38:41
137,Beton jembatan Jalan Mangga Dua retak lebar perlu penanganan segera,Jembatan,Jakarta Barat,Sedang,2025-06-15 14:28:43
138,Ubin trotoar di Jalan Daan Mogot banyak yang copot dan berlubang,Trotoar,Jakarta Pusat,Sedang,2025-04-17 15:50:57
139,Lampu jalan di gang Jalan Cengkareng kurang terang perlu perhatian,Lampu Jalan,Jakarta Barat,Ringan,2025-12-06 21:05:18
140,Tiang lampu jalan Jalan Haji Nawi patah miring hampir jatuh ke jalan,Lampu Jalan,Jakarta Timur,Berat,2025-09-22 20:39:21
141,Beberapa bata trotoar Jalan Sisingamangaraja retak ringan,Trotoar,Jakarta Timur,Ringan,2025-02-27 07:43:19
142,Jalan Gang Anggrek retak kecil akibat cuaca panas,Jalan,Jakarta Timur,Ringan,2025-04-26 06:09:01
143,Lampu jalan Gang Anggrek casing nya sedikit retak tapi masih menyala,Lampu Jalan,Jakarta Timur,Ringan,2025-01-08 15:39:54
144,Trotoar Jalan Gajah Mada rusak parah pejalan kaki terpaksa jalan di badan jalan,Trotoar,Kepulauan Seribu,Sedang,2025-02-15 13:56:40
145,Drainase Gang Melati alirannya sedikit terhambat,Drainase,Jakarta Pusat,Ringan,2025-10-07 22:44:24
146,Drainase Jalan Pramuka tersumbat menyebabkan genangan air saat hujan 🙏,Drainase,Jakarta Utara,Sedang,2025-08-13 07:09:41
147,Jembatan Jalan Fatmawati ada sedikit kerusakan minor di permukaan,Jembatan,Jakarta Pusat,Ringan,2025-12-01 03:49:27
148,Kap lampu jalan di Jalan Haji Nawi kotor mengurangi pencahayaan mohon segera ditindaklanjuti,Lampu Jalan,Kepulauan Seribu,Ringan,2025-04-06 22:33:29
149,Instalasi kabel fiber Jalan Hayam Wuruk hancur total akibat tertimpa pohon besar tumbang,Kabel Fiber,Kepulauan Seribu,Berat,2025-01-18 07:58:54
150,Kabel fiber di Jalan Ciledug Raya putus menyebabkan gangguan internet warga,Kabel Fiber,Jakarta Timur,Sedang,2025-02-15 04:51:29
151,Trotoar Jalan Mangga Dua banyak ubin pecah sangat tidak nyaman dilalui,Trotoar,Jakarta Utara,Sedang,2025-11-17 17:38:20
152,Kabel fiber Gang Anggrek menyebabkan kebakaran karena korsleting parah sudah dilaporkan ke RT tapi belum ada respons,Kabel Fiber,Jakarta Timur,Berat,2025-08-20 23:57:32
153,Aspal di atas jembatan Jalan Pangeran Jayakarta retak tipis perlu penambalan,Jembatan,Jakarta Selatan,Ringan,2025-07-27 17:28:57
154,Retakan halus di aspal jalan Jalan Panjang perlu perhatian,Jalan,Kepulauan Seribu,Ringan,2025-03-24 15:28:16
155,Kondisi jembatan Jalan Haji Nawi kritis hampir tidak layak digunakan darurat mutlak,Jembatan,Jakarta Selatan,Berat,2025-04-27 20:17:49
156,Instalasi listrik lampu jalan Jalan Sisingamangaraja terbakar bgt berbahaya,Lampu Jalan,Jakarta Selatan,Berat,2025-09-16 20:15:17
157,Kabel fiber Jalan Rasuna Said melendut ke bawah perlu dirapikan,Kabel Fiber,Jakarta Timur,Ringan,2025-08-03 22:18:15
158,Tiang kabel fiber Jalan Rasuna Said miring hampir roboh,Kabel Fiber,Jakarta Barat,Sedang,2025-05-11 10:57:34
159,Rel pagar jembatan di Jalan Panjang berkarat perlu perawatan,Jembatan,Jakarta Barat,Ringan,2025-02-05 04:14:24
160,Jalan Jalan Kebon Jeruk amblas sedikit dan berlubang anak anak sering lewat sini,Jalan,Jakarta Barat,Sedang,2025-12-05 22:13:04
161,Jalan Jalan Sisingamangaraja mengalami retak kecil sepanjang 8 meter,Jalan,Jakarta Barat,Ringan,2025-07-14 10:34:29
162,Drainase Jalan Sisingamangaraja jebol menyebabkan banjir parah di pemukiman warga,Drainase,Jakarta Pusat,Berat,2025-07-02 06:53:26
163,Paving trotoar Jalan Hayam Wuruk warnanya pudar perlu perawatan,Trotoar,Jakarta Barat,Ringan,2025-07-29 18:44:01
164,Kerusakan massal kabel fiber di jln Raya Pasar Minggu buat wilayah luas tanpa internet,Kabel Fiber,Jakarta Selatan,Berat,2025-10-13 15:00:22
165,Lampu jalan Jalan Kebon Jeruk mati total sudah beberapa hari tidak diperbaiki,Lampu Jalan,Jakarta Timur,Sedang,2025-05-25 12:54:57
166,Ubin trotoar Jalan TB Simatupang banyak yang hilang meninggalkan lubang,Trotoar,Jakarta Timur,Sedang,2025-07-18 23:47:34
167,BANJIR MERENDAM TAMAN JALAN GAJAH MADA SEMUA TANAMAN DAN FASILITAS RUSAK PARAH,Taman,Jakarta Timur,Berat,2025-10-29 07:31:14
168,Kabel lampu jl Jalan Gunung Sahari putus dan terurai bhs menyetrum,Lampu Jalan,Jakarta Barat,Berat,2025-05-14 15:01:24
169,Kabel fiber Jalan TB Simatupang terputus akibat tertimpa pohon,Kabel Fiber,Jakarta Utara,Sedang,2025-06-22 21:51:25
170,Trotoar Jalan Cengkareng rusak parah pejalan kaki terpaksa jalan di badan jalan ini jalan protokol yang ramai,Trotoar,Jakarta Selatan,Sedang,2025-12-06 14:58:08
171,Beberapa tanaman di taman Jalan Pramuka layu perlu disiram,Taman,Jakarta Utara,Ringan,2025-10-18 00:58:25
172,Permukaan jalan Jalan Cengkareng bergelombang dan berlubang,Jalan,Jakarta Timur,Sedang,2025-10-19 21:01:05
173,Seluruh lampu jalan di Jalan Raya Bekasi mati total dan tidak ada penerangan sama sekali,Lampu Jalan,Jakarta Utara,Berat,2025-11-14 04:55:29
174,Pohon tumbang besar di taman Jalan Raya Pasar Minggu sangat membahayakan warga sekitar samping pom bensin,Taman,Jakarta Utara,Berat,2025-03-02 08:24:20
175,Pagar pengaman jembatan Jalan Daan Mogot sedikit berkarat,Jembatan,Jakarta Utara,Ringan,2025-04-15 10:21:48
176,Saluran induk drainase Jalan Raya Pasar Minggu tersumbat total banjir meluas ke mana mana,Drainase,Kepulauan Seribu,Berat,2025-07-09 13:16:53
177,Kabel fiber Jalan Haji Nawi putus dan terurai berbahaya berpotensi menyetrum warga,Kabel Fiber,Jakarta Timur,Berat,2025-02-16 00:47:34
178,Instalasi kabel fiber Jalan Muara Baru kurang rapi mengganggu estetika,Kabel Fiber,Jakarta Timur,Ringan,2025-01-31 11:14:41
179,Tiang penyangga kabel fiber di Jalan Pramuka patah menimpa rumah warga,Kabel Fiber,Jakarta Selatan,Berat,2025-02-25 20:02:48
180,Kap lampu jalan di Jalan Kebon Jeruk kotor mengurangi pencahayaan,Lampu Jalan,Jakarta Selatan,Ringan,2025-01-31 07:12:53
181,Trotoar Jalan Meruya dirusak oleh akar pohon dan tidak rata,Trotoar,Jakarta Selatan,Sedang,2025-01-20 04:15:08
182,Lubang besar di jalan Gang Melati sangat berbahya bisa menyebabkan kecelakaan,Jalan,Jakarta Selatan,Berat,2025-08-22 03:36:13
183,Kerusakan jalan di Jalan Daan Mogot cukup parah ada beberapa lubang,Jalan,Jakarta Utara,Sedang,2025-08-23 08:49:23
184,Lantai jembatan Jalan Raya Kembangan ada retakan tipis perlu pengecekan,Jembatan,Jakarta Utara,Ringan,2025-03-20 19:47:45
185,Ada retakan tipis di permukaan jalan Jalan Ciledug Raya,Jalan,Jakarta Utara,Ringan,2025-02-25 05:19:06
186,Trotoar Jalan Sudirman ambles di beberapa titik berbahaya pejalan kaki,Trotoar,Jakarta Pusat,Sedang,2025-10-01 09:36:43
187,Jembatan Jalan Gajah Mada rusak berat tidak layak dilalui kendaraan apapun,Jembatan,Kepulauan Seribu,Berat,2025-07-13 22:12:04
188,Beton jembatan Jalan Gatot Subroto patah sebagian sangat darurat,Jembatan,Jakarta Timur,Berat,2025-10-23 20:15:06
189,Kabel fiber Jalan Gunung Sahari putus dan terurai berbahaya berpotensi menyetrum warga,Kabel Fiber,Kepulauan Seribu,Berat,2025-12-25 09:54:43
190,Terdapat keretakan kecil di aspal jalan Jalan Mangga Dua,Jalan,Jakarta Pusat,Ringan,2025-10-26 03:50:36
191,Kabel fiber di Jalan Haji Nawi sedikit kendur perlu dikencangkan,Kabel Fiber,Jakarta Barat,Ringan,2025-01-12 17:27:42
192,Kabel fiber di tiang Jalan Sudirman terlihat longgar,Kabel Fiber,Jakarta Timur,Ringan,2025-06-03 16:41:21
