deskripsi_laporan,jenis_infrastruktur,kota_administrasi,tingkat_kerusakan,date_laporan,tingkat_kerusakan_encoded
retakan halus di aspal jalan jalan gunung sahari perlu perhatian,jalan,jakarta barat,ringan,2025-06-06 11:22:13,0
jalan jalan otista rusak berat hampir tidak bisa dilalui kendaraan,jalan,jakarta utara,berat,2025-11-09 22:59:43,2
beberapa pot tanaman di taman jalan haji nawi retak kecil,taman,jakarta selatan,ringan,2025-11-03 19:40:10,0
ada celah kecil di aspal jalan dekat jalan kebon jeruk,jalan,jakarta pusat,ringan,2025-09-24 07:10:29,0
kerusakan jalan di gang dahlia cukup parah ada beberapa lubang,jalan,jakarta barat,sedang,2025-07-09 20:44:35,1
cat jembatan di jalan gunung sahari mulai mengelupas perlu dicat ulang,jembatan,jakarta barat,ringan,2025-04-22 10:53:49,0
jalan jalan gajah mada mengalami retak kecil sepanjang 30 meter,jalan,jakarta timur,ringan,2025-01-08 01:51:20,0
jembatan jalan ahmad yani rusak berat tidak layak dilalui kendaraan apapun,jembatan,jakarta pusat,berat,2025-07-09 02:13:58,2
beberapa pot tanaman di taman jalan haji nawi retak kecil anak anak sering lewat sini,taman,jakarta barat,ringan,2025-10-29 22:20:13,0
ada kabel fiber di jalan warung buncit yang pengikatnya lepas,kabel fiber,jakarta timur,ringan,2025-11-16 12:56:58,0
saluran air gang melati tersumbat dan bau tidak sedap menyebar,drainase,jakarta timur,sedang,2025-11-15 04:16:08,1
pagar pengaman jembatan jalan rasuna said sedikit berkarat mohon segera ditindaklanjuti,jembatan,kepulauan seribu,ringan,2025-04-24 17:34:16,0
taman jalan daan mogot perlu pembersihan ringan daun daun berguguran,taman,jakarta selatan,ringan,2025-12-19 13:57:37,0
saluran got jalan casablanca mulai menyempit karena endapan,drainase,kepulauan seribu,ringan,2025-07-12 07:08:32,0
lantai jembatan jalan muara baru ada retakan tipis perlu pengecekan,jembatan,jakarta selatan,ringan,2025-08-03 01:55:07,0
kabel fiber jalan gajah mada mengurai dan menggantung di tengah jalan,kabel fiber,kepulauan seribu,sedang,2025-03-21 05:50:43,1
got besar di gang melati amblas menyebabkan jalan ikut rusak,drainase,jakarta timur,berat,2025-07-20 02:24:24,2
beberapa lampu jalan di jalan warung buncit mati menyebabkan jalan gelap,lampu jalan,kepulauan seribu,sedang,2025-10-15 16:16:35,1
pemasangan kabel fiber di jalan tb simatupang tidak rapi menggantung rendah,kabel fiber,jakarta barat,ringan,2025-01-22 23:07:43,0
taman gang melati hancur total akibat banjir semua fasilitas rusak,taman,jakarta pusat,berat,2025-09-25 08:49:41,2
taman jalan sisingamangaraja tidak bisa digunakan semua infrastruktur rusak berat,taman,kepulauan seribu,berat,2025-06-04 09:27:10,2
drainase jalan casablanca meluap saat hujan deras meski sebentar,drainase,jakarta pusat,sedang,2025-08-01 23:56:46,1
kabel fiber jalan pluit putus massal akibat bencana menyebabkan blackout digital,kabel fiber,jakarta pusat,berat,2025-05-17 05:32:58,2
ada retakan tipis di permukaan jalan jalan sudirman,jalan,jakarta timur,ringan,2025-02-28 20:19:53,0
trotoar jalan sisingamangaraja rusak parah pejalan kaki terpaksa jalan di badan jalan,trotoar,jakarta pusat,sedang,2025-11-17 19:12:09,1
infrastruktur lampu jalan di jalan pangeran jayakarta hancur parah akibat kecelakaan,lampu jalan,kepulauan seribu,berat,2025-06-25 05:34:49,2
trotoar jalan raya kembangan ada satu dua ubin yang goyang sedikit berbahaya,trotoar,jakarta barat,ringan,2025-09-30 00:38:20,0
seluruh jaringan kabel fiber di jalan kebon jeruk putus total tidak ada sinyal,kabel fiber,jakarta utara,berat,2025-08-01 03:59:23,2
trotoar jalan raya kembangan perlu pengecatan ulang marka sudah pudar,trotoar,jakarta selatan,ringan,2025-05-08 01:15:56,0
banyak lubang kecil sedang di badan jalan jalan sisingamangaraja,jalan,jakarta pusat,sedang,2025-10-31 02:05:46,1
jalan jalan rasuna said amblas dalam dan lebar sangat mengancam keselamatan,jalan,jakarta barat,berat,2025-08-27 02:48:34,2
jembatan jalan meruya rusak berat tidak layak dilalui kendaraan apapun,jembatan,jakarta selatan,berat,2025-03-05 21:30:35,2
pagar taman jalan sisingamangaraja rusak di beberapa bagian,taman,jakarta utara,sedang,2025-03-09 16:55:38,1
trotoar jalan raya bekasi rusak berat ada yang ambles ke saluran drainase bawahnya tolong segera ditangani,trotoar,jakarta barat,berat,2025-07-31 06:59:34,2
urgent got jalan gajah mada retak dan bocor air merembes ke jlan,drainase,kepulauan seribu,sedang,2025-12-23 06:45:19,1
jembatan jalan mangga dua hampir roboh sangat mengancam keselamatan jiwa,jembatan,kepulauan seribu,berat,2025-07-22 20:23:28,2
drainase di jl raya kembangan perlu pembersihan rutin lumpur menumpuk,drainase,jakarta utara,ringan,2025-09-15 03:15:14,0
trotoar jalan raya kembangan dirusak oleh akar pohon dan tidak rata,trotoar,kepulauan seribu,sedang,2025-02-11 00:37:35,1
jembatan jalan pluit terancam roboh akibat banjir besar melanda,jembatan,jakarta selatan,berat,2025-04-19 07:00:04,2
infrastruktur lampu jalan di jalan haji nawi hancur parah akibat kecelakaan,lampu jalan,jakarta selatan,berat,2025-12-21 01:14:04,2
tempat duduk di taman gang melati hampir semua rusak tidak layak,taman,kepulauan seribu,sedang,2025-01-28 10:04:32,1
jembatan jalan pangeran jayakarta patah di bagian tengah sangat berbahaya darurat anak anak sering lewat sini,jembatan,jakarta pusat,berat,2025-04-09 21:31:13,2
ubin trotoar di jalan haji nawi mulai longgar tapi masih aman,trotoar,jakarta selatan,ringan,2025-09-05 23:59:56,0
kabel fiber jalan sudirman mengurai dan menggantung di tengah jalan,kabel fiber,jakarta selatan,sedang,2025-10-19 15:15:50,1
jembatan jalan sisingamangaraja retak cukup dalam perlu segera diperbaiki,jembatan,jakarta pusat,sedang,2025-08-26 13:12:06,1
tiang lampu jalan casablanca roboh hampir menimpa rumah warga,lampu jalan,jakarta utara,berat,2025-02-22 13:22:27,2
penyangga jembatan jln gunung sahari terlihat retak perlu inspeksi sudah 2 minggu belum diperbaiki,jembatan,kepulauan seribu,sedang,2025-07-15 23:03:43,1
kerusakan jalan di jalan meruya cukup parah ada beberapa lubang,jalan,jakarta pusat,sedang,2025-11-21 03:03:25,1
longsor kecil merusak area taman gang mawar secara parah mohon segera ditindaklanjuti,taman,jakarta barat,berat,2025-12-11 03:15:12,2
penerangan jalan di jalan ciledug raya gelap karena beberapa lampu mati depan masjid,lampu jalan,jakarta barat,sedang,2025-04-18 14:08:27,1
tiang lampu jalan jalan raya bekasi patah miring hampir jatuh ke jalan,lampu jalan,jakarta selatan,berat,2025-03-09 14:15:55,2
saluran air taman jalan gatot subroto mampet menyebabkan genangan,taman,jakarta timur,sedang,2025-02-15 17:06:03,1
tiang kabel fiber jalan warung buncit miring hampir roboh,kabel fiber,kepulauan seribu,sedang,2025-11-18 00:05:59,1
taman jalan haji nawi hancur total akibat banjir semua fasilitas rusak,taman,jakarta barat,berat,2025-04-06 13:31:30,2
lampu jalan jalan panjang sering konslet menyebabkan mati berulang,lampu jalan,kepulauan seribu,sedang,2025-04-28 12:57:03,1
beberapa kabel fiber di gang mawar putus menyebabkan area mati sinyal,kabel fiber,jakarta barat,sedang,2025-03-13 00:24:16,1
kabel fiber jalan otista terputus akibat tertimpa pohon,kabel fiber,jakarta timur,sedang,2025-08-10 13:44:46,1
penerangan jalan di jalan cengkareng gelap karena beberapa lampu mati,lampu jalan,jakarta pusat,sedang,2025-09-22 22:31:09,1
saluran drainse di jalan rasuna said sedikit tersumbat sampah daun,drainase,jakarta selatan,ringan,2025-04-10 06:03:37,0
jembatan jalan muara baru kondisi memperihatinkan perlu diperbaiki secepatnya,jembatan,jakarta utara,sedang,2025-12-18 01:47:20,1
jalan jalan raya kembangan rusak berat hampir tidak bisa dilalui kendaraan,jalan,kepulauan seribu,berat,2025-01-02 18:30:32,2
kabel fiber jalan pangeran jayakarta sedikit terkelupas di bagian sambungan,kabel fiber,jakarta timur,ringan,2025-09-06 01:32:05,0
jembatan gang melati retak parah dan sangat berbahaya harus ditutup,jembatan,jakarta pusat,berat,2025-03-03 19:04:43,2
got jalan casablanca ada sedikit sampah yang menghambat aliran air,drainase,jakarta selatan,ringan,2025-04-13 03:56:36,0
tiang lampu jalan fatmawati roboh hampir menimpa rumah warga,lampu jalan,jakarta selatan,berat,2025-04-19 19:02:39,2
kerusakan parah di jalan jalan mangga dua kendaraan harus memutar jalan,jalan,jakarta selatan,berat,2025-02-14 21:37:36,2
got pinggir jalan jalan pluit ada sampah plastik menyumbat sedikit,drainase,jakarta timur,ringan,2025-09-11 08:13:42,0
taman jalan tb simatupang rusa berat akibat vandalisme parah butuh renovasi total,taman,jakarta selatan,berat,2025-12-11 07:16:25,2
kersakan trotoar jl otista sangat parah ada lubang besar mengancam keselamatan,trotoar,kepulauan seribu,berat,2025-03-22 20:19:29,2
saluran drainase di jalan haji nawi sedikit tersumbat sampah daun,drainase,jakarta utara,ringan,2025-06-30 02:00:29,0
rel jembatan jalan otista copot berbahaya bagi pengguna jalan,jembatan,kepulauan seribu,sedang,2025-10-19 03:04:34,1
terdapat lubang sangat besar di jl jalan gunung sahari membahayakan pengendara,jalan,kepulauan seribu,berat,2025-04-17 08:08:59,2
got besar di jalan otista amblas menyebabkan jalan ikut rusak,drainase,jakarta barat,berat,2025-06-29 02:56:15,2
taman jalan ciledug raya hancur total akibat banjir semua fasilitas rusak,taman,jakarta pusat,berat,2025-06-10 05:28:53,2
retakan halus di aspal jalan jalan pluit perlu perhatian,jalan,jakarta timur,ringan,2025-09-23 09:39:51,0
taman gang dahlia sedikit kotor ada sampah berserakan,taman,kepulauan seribu,ringan,2025-11-17 00:42:52,0
jembatan jalan ahmad yani retak cukup dalam perlu segera diperbaiki,jembatan,jakarta barat,sedang,2025-09-10 21:06:56,1
lampu jalan jalan daan mogot kabelnya terkelupas berbahaya bila hujan,lampu jalan,jakarta selatan,sedang,2025-03-09 03:56:06,1
kondisi jembatan jalan gajah mada kritis hampir nggak layak digunakan darurat mutlak,jembatan,jakarta selatan,berat,2025-12-18 04:17:18,2
kap lampu jalan di jalan gajah mada kotor mengurangi pencahayaan 🙏,lampu jalan,jakarta utara,ringan,2025-10-07 22:21:13,0
drainase jalan gatot subroto kurang bersih perlu segera diperhatikan,drainase,jakarta pusat,ringan,2025-11-21 08:32:31,0
permukaan jalan jalan pramuka bergelombang dan berlubang,jalan,jakarta utara,sedang,2025-05-29 01:05:40,1
tempat duduk di taman jalan ciledug raya hampir semua rusak tidak layak,taman,kepulauan seribu,sedang,2025-07-27 08:02:00,1
trotoar jalan haji nawi rusak berat ada yang ambles ke saluran drainase bawahnya,trotoar,jakarta timur,berat,2025-06-25 04:40:16,2
ubin trotoar di jalan warung buncit mulai longgar tapi masih aman,trotoar,kepulauan seribu,ringan,2025-03-24 14:35:45,0
got jalan tb simatupang retak dan bocor air merembes ke jalan,drainase,kepulauan seribu,sedang,2025-07-18 00:07:04,1
permukaan jalan jalan kebon jeruk mengelupas sedikit,jalan,jakarta barat,ringan,2025-12-29 04:34:02,0
kerusakan massal kabel fiber di jalan raya pasar minggu bikin wilayah luas tanpa internet,kabel fiber,jakarta timur,berat,2025-06-19 17:09:27,2
beton jembatan jl cengkareng patah sebagian sagnat darurat,jembatan,jakarta barat,berat,2025-03-02 09:23:57,2
taman gang melati tidak terawat tanaman banyak yang mati,taman,jakarta pusat,sedang,2025-01-29 11:13:43,1
saluran got jalan haji nawi hancur total menyebabkan banjir besar,drainase,jakarta timur,berat,2025-04-22 03:22:49,2
rumput taman jalan gatot subroto mulai tidak terawat perlu dipangkas,taman,jakarta selatan,ringan,2025-09-29 13:39:47,0
satu bundel kabel fiber di jalan rasuna said terlepas dari pengikat tiang,kabel fiber,jakarta pusat,ringan,2025-03-30 07:55:10,0
tiang lampu jalan rasuna said roboh hampir menimpa rumah warga,lampu jalan,jakarta barat,berat,2025-03-29 13:01:11,2
permukaan jalan jalan panjang bergelombang dan berlubang,jalan,jakarta selatan,sedang,2025-12-30 10:50:59,1
drainase jalan gajah mada rusak berat banjir menggenangi rumah warga,drainase,jakarta utara,berat,2025-07-26 21:55:47,2
kondisi taman jalan pramuka sangat memperihatinkan rusak total perlu penanganan segera,taman,jakarta pusat,berat,2025-04-09 05:50:44,2
satu bundel kabel fiber di jalan kebon jeruk terlepas dari pengikat tiang,kabel fiber,jakarta timur,ringan,2025-02-13 01:54:30,0
seluruh lampu jalaan di jalan tb simatupang mati total dan tidak ada penerangan sama sekali,lampu jalan,jakarta utara,berat,2025-04-07 14:22:19,2
saluran got di jalan gajah mada mampet total air meluap ke jalan,drainase,jakarta pusat,sedang,2025-04-08 00:42:12,1
kabel fiber di tiang jalan mangga dua terlihat longgar,kabel fiber,jakarta utara,ringan,2025-07-11 08:55:04,0
urgent beberapa tanaman di taman jalan hayam wuruk layu perlu disiram,taman,jakarta barat,ringan,2025-05-12 20:32:25,0
tiang lampu jlan jalan pangeran jayakarta roboh snagat berbahaya menghalangi jalan,lampu jalan,jakarta pusat,berat,2025-11-27 17:21:01,2
tiang lampu jalan gang melati roboh sangat berbahaya menghalangi jalan,lampu jalan,jakarta selatan,berat,2025-02-09 05:37:16,2
lampu jalan jalan panjang casing nya sedikit retak tapi masih menyala,lampu jalan,jakarta utara,ringan,2025-01-04 19:27:22,0
jalan jalan gajah mada amblas parah dan sangat berbahaya bagi pengendara,jalan,kepulauan seribu,berat,2025-12-26 10:27:38,2
saluran got jalan haji nawi hancur total menyebabkan banjir besar,drainase,jakarta barat,berat,2025-09-04 12:57:36,2
beberapa kabel fiber di jalan fatmawati putus menyebabkan area mati sinyal,kabel fiber,jakarta pusat,sedang,2025-04-09 01:45:27,1
jalan jalan panjang amblas dalam dan lebar sangat mengancam keselamatan,jalan,jakarta utara,berat,2025-01-17 17:43:46,2
jembatan jalan gajah mada retak parah dan bgtt berbahaya harus ditutup ini sudah lama dibiarkan,jembatan,kepulauan seribu,berat,2025-12-24 21:12:23,2
kondisi trotoar jalan casablanca cukup memprihatinkan banyak kerusakan merata,trotoar,kepulauan seribu,sedang,2025-07-03 21:58:21,1
paving block trotoar jalan raya bekasi sedikit terangkat perlu diperbaiki,trotoar,jakarta barat,ringan,2025-10-11 21:54:07,0
kap lampu jalan di jalan sudirman kotor mengurangi pencahayaan,lampu jalan,jakarta timur,ringan,2025-12-29 09:32:19,0
jembatan jalan pluit bergetar berlebihan saat dilalui kendaraan dekat sekolah sd,jembatan,jakarta utara,sedang,2025-11-14 10:25:44,1
banyak lubang kecil sedang di badan jalan jalan cengkareng,jalan,jakarta barat,sedang,2025-05-18 04:12:26,1
kabel fiber jalan casablanca tergantung rendah berbahaya bagi kendaraan tinggi,kabel fiber,jakarta barat,sedang,2025-11-13 21:47:57,1
beberapa pot tanaman di taman jalan pluit retak kecil,taman,jakarta selatan,ringan,2025-03-20 18:19:25,0
tanaman hias di taman jalan mangga dua perlu perawatan rutin,taman,jakarta timur,ringan,2025-09-27 00:19:18,0
pondasi jembatan jalan raya bekasi amblas darurat harus segera dievakuasi,jembatan,jakarta barat,berat,2025-04-14 18:38:41,2
beton jembatan jalan mangga dua retak lebar perlu penanganan segera,jembatan,jakarta barat,sedang,2025-06-15 14:28:43,1
ubin trotoar di jalan daan mogot banyak yang copot dan berlubang,trotoar,jakarta pusat,sedang,2025-04-17 15:50:57,1
lampu jalan di gang jalan cengkareng kurang terang perlu perhatian,lampu jalan,jakarta barat,ringan,2025-12-06 21:05:18,0
tiang lampu jalan jalan haji nawi patah miring hampir jatuh ke jalan,lampu jalan,jakarta timur,berat,2025-09-22 20:39:21,2
beberapa bata trotoar jalan sisingamangaraja retak ringan,trotoar,jakarta timur,ringan,2025-02-27 07:43:19,0
jalan gang anggrek retak kecil akibat cuaca panas,jalan,jakarta timur,ringan,2025-04-26 06:09:01,0
lampu jalan gang anggrek casing nya sedikit retak tapi masih menyala,lampu jalan,jakarta timur,ringan,2025-01-08 15:39:54,0
trotoar jalan gajah mada rusak parah pejalan kaki terpaksa jalan di badan jalan,trotoar,kepulauan seribu,sedang,2025-02-15 13:56:40,1
drainase gang melati alirannya sedikit terhambat,drainase,jakarta pusat,ringan,2025-10-07 22:44:24,0
drainase jalan pramuka tersumbat menyebabkan genangan air saat hujan 🙏,drainase,jakarta utara,sedang,2025-08-13 07:09:41,1
jembatan jalan fatmawati ada sedikit kerusakan minor di permukaan,jembatan,jakarta pusat,ringan,2025-12-01 03:49:27,0
kap lampu jalan di jalan haji nawi kotor mengurangi pencahayaan mohon segera ditindaklanjuti,lampu jalan,kepulauan seribu,ringan,2025-04-06 22:33:29,0
instalasi kabel fiber jalan hayam wuruk hancur total akibat tertimpa pohon besar tumbang,kabel fiber,kepulauan seribu,berat,2025-01-18 07:58:54,2
kabel fiber di jalan ciledug raya putus menyebabkan gangguan internet warga,kabel fiber,jakarta timur,sedang,2025-02-15 04:51:29,1
trotoar jalan mangga dua banyak ubin pecah sangat tidak nyaman dilalui,trotoar,jakarta utara,sedang,2025-11-17 17:38:20,1
kabel fiber gang anggrek menyebabkan kebakaran karena korsleting parah sudah dilaporkan ke rt tapi belum ada respons,kabel fiber,jakarta timur,berat,2025-08-20 23:57:32,2
aspal di atas jembatan jalan pangeran jayakarta retak tipis perlu penambalan,jembatan,jakarta selatan,ringan,2025-07-27 17:28:57,0
retakan halus di aspal jalan jalan panjang perlu perhatian,jalan,kepulauan seribu,ringan,2025-03-24 15:28:16,0
kondisi jembatan jalan haji nawi kritis hampir tidak layak digunakan darurat mutlak,jembatan,jakarta selatan,berat,2025-04-27 20:17:49,2
instalasi listrik lampu jalan jalan sisingamangaraja terbakar bgt berbahaya,lampu jalan,jakarta selatan,berat,2025-09-16 20:15:17,2
kabel fiber jalan rasuna said melendut ke bawah perlu dirapikan,kabel fiber,jakarta timur,ringan,2025-08-03 22:18:15,0
tiang kabel fiber jalan rasuna said miring hampir roboh,kabel fiber,jakarta barat,sedang,2025-05-11 10:57:34,1
rel pagar jembatan di jalan panjang berkarat perlu perawatan,jembatan,jakarta barat,ringan,2025-02-05 04:14:24,0
jalan jalan kebon jeruk amblas sedikit dan berlubang anak anak sering lewat sini,jalan,jakarta barat,sedang,2025-12-05 22:13:04,1
jalan jalan sisingamangaraja mengalami retak kecil sepanjang 8 meter,jalan,jakarta barat,ringan,2025-07-14 10:34:29,0
drainase jalan sisingamangaraja jebol menyebabkan banjir parah di pemukiman warga,drainase,jakarta pusat,berat,2025-07-02 06:53:26,2
paving trotoar jalan hayam wuruk warnanya pudar perlu perawatan,trotoar,jakarta barat,ringan,2025-07-29 18:44:01,0
kerusakan massal kabel fiber di jln raya pasar minggu buat wilayah luas tanpa internet,kabel fiber,jakarta selatan,berat,2025-10-13 15:00:22,2
lampu jalan jalan kebon jeruk mati total sudah beberapa hari tidak diperbaiki,lampu jalan,jakarta timur,sedang,2025-05-25 12:54:57,1
ubin trotoar jalan tb simatupang banyak yang hilang meninggalkan lubang,trotoar,jakarta timur,sedang,2025-07-18 23:47:34,1
banjir merendam taman jalan gajah mada semua tanaman dan fasilitas rusak parah,taman,jakarta timur,berat,2025-10-29 07:31:14,2
kabel lampu jl jalan gunung sahari putus dan terurai bhs menyetrum,lampu jalan,jakarta barat,berat,2025-05-14 15:01:24,2
kabel fiber jalan tb simatupang terputus akibat tertimpa pohon,kabel fiber,jakarta utara,sedang,2025-06-22 21:51:25,1
trotoar jalan cengkareng rusak parah pejalan kaki terpaksa jalan di badan jalan ini jalan protokol yang ramai,trotoar,jakarta selatan,sedang,2025-12-06 14:58:08,1
beberapa tanaman di taman jalan pramuka layu perlu disiram,taman,jakarta utara,ringan,2025-10-18 00:58:25,0
permukaan jalan jalan cengkareng bergelombang dan berlubang,jalan,jakarta timur,sedang,2025-10-19 21:01:05,1
seluruh lampu jalan di jalan raya bekasi mati total dan tidak ada penerangan sama sekali,lampu jalan,jakarta utara,berat,2025-11-14 04:55:29,2
pohon tumbang besar di taman jalan raya pasar minggu sangat membahayakan warga sekitar samping pom bensin,taman,jakarta utara,berat,2025-03-02 08:24:20,2
pagar pengaman jembatan jalan daan mogot sedikit berkarat,jembatan,jakarta utara,ringan,2025-04-15 10:21:48,0
saluran induk drainase jalan raya pasar minggu tersumbat total banjir meluas ke mana mana,drainase,kepulauan seribu,berat,2025-07-09 13:16:53,2
kabel fiber jalan haji nawi putus dan terurai berbahaya berpotensi menyetrum warga,kabel fiber,jakarta timur,berat,2025-02-16 00:47:34,2
instalasi kabel fiber jalan muara baru kurang rapi mengganggu estetika,kabel fiber,jakarta timur,ringan,2025-01-31 11:14:41,0
tiang penyangga kabel fiber di jalan pramuka patah menimpa rumah warga,kabel fiber,jakarta selatan,berat,2025-02-25 20:02:48,2
kap lampu jalan di jalan kebon jeruk kotor mengurangi pencahayaan,lampu jalan,jakarta selatan,ringan,2025-01-31 07:12:53,0
trotoar jalan meruya dirusak oleh akar pohon dan tidak rata,trotoar,jakarta selatan,sedang,2025-01-20 04:15:08,1
lubang besar di jalan gang melati sangat berbahya bisa menyebabkan kecelakaan,jalan,jakarta selatan,berat,2025-08-22 03:36:13,2
kerusakan jalan di jalan daan mogot cukup parah ada beberapa lubang,jalan,jakarta utara,sedang,2025-08-23 08:49:23,1
lantai jembatan jalan raya kembangan ada retakan tipis perlu pengecekan,jembatan,jakarta utara,ringan,2025-03-20 19:47:45,0
ada retakan tipis di permukaan jalan jalan ciledug raya,jalan,jakarta utara,ringan,2025-02-25 05:19:06,0
trotoar jalan sudirman ambles di beberapa titik berbahaya pejalan kaki,trotoar,jakarta pusat,sedang,2025-10-01 09:36:43,1
jembatan jalan gajah mada rusak berat tidak layak dilalui kendaraan apapun,jembatan,kepulauan seribu,berat,2025-07-13 22:12:04,2
beton jembatan jalan gatot subroto patah sebagian sangat darurat,jembatan,jakarta timur,berat,2025-10-23 20:15:06,2
kabel fiber jalan gunung sahari putus dan terurai berbahaya berpotensi menyetrum warga,kabel fiber,kepulauan seribu,berat,2025-12-25 09:54:43,2
terdapat keretakan kecil di aspal jalan jalan mangga dua,jalan,jakarta pusat,ringan,2025-10-26 03:50:36,0
kabel fiber di jalan haji nawi sedikit kendur perlu dikencangkan,kabel fiber,jakarta barat,ringan,2025-01-12 17:27:42,0
kabel fiber di tiang jalan sudirman terlihat longgar,kabel fiber,jakarta timur,ringan,2025-06-03 16:41:21,0
beberapa tanaman di taman jalan warung buncit layu perlu disiram,taman,jakarta pusat,ringan,2025-01-28 13:52:31,0
kerusakan drainase di jalan daan mogot menyebabkan banjir bandang kecil,drainase,jakarta selatan,berat,2025-02-14 11:40:57,2
rel pagar jembatan di jalan sudirman berkarat perlu perawatan,jembatan,jakarta selatan,ringan,2025-08-23 04:27:11,0
satu bundel kabel fiber di jalan kebon jeruk terlepas dari pengikat tiang,kabel fiber,jakarta timur,ringan,2025-12-17 20:17:39,0
instalasi kabel fiber jalan casablanca hancur total akibat tertimpa pohon besar tumbang,kabel fiber,jakarta barat,berat,2025-09-25 15:29:27,2
instalasi kabel fiber jalan hayam wuruk hancur total akibat tertimpa pohon besar tumbang,kabel fiber,jakarta selatan,berat,2025-12-19 08:20:54,2
kondisi jembatan jalan sudirman kritis hampir tidak layak digunakan darurat mutlak warga sekitar sudah mengeluh,jembatan,jakarta utara,berat,2025-04-27 02:17:56,2
tiang lampu jln di jalan mangga dua miring cukup parah perlu segera diperbaiki,lampu jalan,kepulauan seribu,sedang,2025-08-08 14:36:39,1
badan jalan jalan gajah mada ambles sangat berbahaya terutama malam hari,jalan,jakarta barat,berat,2025-11-13 10:01:31,2
kabel fiber di jalan tb simatupang sedikit kendur perlu dikencangkan,kabel fiber,jakarta timur,ringan,2025-06-06 15:13:22,0
permukaan jembatan gang anggrek mulai kasar dan tidak rata,jembatan,kepulauan seribu,ringan,2025-05-11 08:56:38,0
lampu jalan jalan sisingamangaraja mati pada jam tertentu saja,lampu jalan,kepulauan seribu,ringan,2025-12-29 08:35:00,0
lampu jalan jalan haji nawi mati pada jam tertentu saja,lampu jalan,kepulauan seribu,ringan,2025-09-07 02:15:46,0
got di gang mawar mulai penuh lumpur perlu dikeruk mohon segera ditindaklanjuti,drainase,jakarta selatan,ringan,2025-07-16 17:48:15,0
taman jalan gunung sahari hancur dan perlu dibangun ulang dari awal,taman,jakarta selatan,berat,2025-12-16 20:45:31,2
instalasi kabel fiber di jalan pluit rusak dan mengganggu layanan,kabel fiber,jakarta utara,sedang,2025-08-26 00:05:18,1
penyangga jembatan jalan daan mogot terlihat retak perlu inspeksi,jembatan,jakarta selatan,sedang,2025-04-13 22:15:19,1
kerusakan trotoar jalan muara baru sangat parah ada lubang besar mengancam keselamatan,trotoar,jakarta barat,berat,2025-11-19 11:30:35,2
drainase jalan raya pasar minggu tersumbat menyebabkan genangan air saat hujan,drainase,kepulauan seribu,sedang,2025-09-12 13:47:35,1
drainase jalan gatot subroto jebol menyebabkan banjir parah di pemukiman warga,drainase,jakarta barat,berat,2025-06-12 22:29:17,2
kabel fiber jalan gajah mada putus dan terurai berbahaya berpotensi menyetrum warga,kabel fiber,jakarta utara,berat,2025-05-09 07:07:46,2
jembatan jalan mangga dua patah di bagian tengah sangat berbahaya darurat,jembatan,jakarta timur,berat,2025-04-11 03:47:34,2
area jalan panjang gelap gulita karena banyak lampu jalan mati,lampu jalan,jakarta utara,sedang,2025-12-06 06:13:47,1
